Povpreène meseène plaèe po: SKD DEJAVNOST, OBÈINE, MESEC, MERITVE ,;;;;;
PLAÈE;;;;;
;;;;;
 ; ;; ;Plaèa za mesec [EUR]; 
 ; ;; ;Bruto plaèa;Neto plaèa
SKD Dejavnost - SKUPAJ;;;;;
 ;Ajdovšèina;Leto;Mesec;;
 ; ;2007;Januar;1331.10;889.26
 ; ;2007;Julij;1311.01;877.64
 ; ;2008;Januar;1319.63;882.13
 ; ;2008;Julij;1350.87;904.11
 ; ;2009;Januar;1434.89;948.80
 ; ;2009;Julij;1383.62;917.66
 ; ;2010;Januar;1314.64;866.23
 ; ;2010;Julij;1386.10;919.50
 ; ;2011;Januar;1413.42;938.81
 ; ;2011;Julij;1396.13;929.25
 ; ;2012;Januar;1391.88;925.73
 ; ;2012;Julij;1360.06;913.56
 ; ;2013;Januar;1395.02;941.40
 ; ;2013;Julij;1348.63;913.46
 ; ;2014;Januar;1387.76;936.48
 ; ;2014;Julij;1405.65;950.63
 ; ;2015;Januar;1546.07;1032.93
 ; ;2015;Julij;1406.05;950.01
 ;Cirkulane;;;;
 ; ;2007;Januar;1117.61;751.20
 ; ;2007;Julij;1130.04;755.61
 ; ;2008;Januar;1242.30;834.29
 ; ;2008;Julij;1130.64;749.92
 ; ;2009;Januar;1197.53;798.51
 ; ;2009;Julij;1200.26;808.23
 ; ;2010;Januar;1200.21;808.94
 ; ;2010;Julij;1246.56;836.61
 ; ;2011;Januar;1217.63;816.64
 ; ;2011;Julij;1187.78;803.64
 ; ;2012;Januar;1230.78;821.95
 ; ;2012;Julij;1223.09;826.67
 ; ;2013;Januar;1249.75;849.87
 ; ;2013;Julij;1262.80;853.92
 ; ;2014;Januar;1274.57;855.32
 ; ;2014;Julij;1288.39;864.95
 ; ;2015;Januar;1269.30;850.79
 ; ;2015;Julij;1347.38;894.50
 ;Èrenšovci;;;;
 ; ;2007;Januar;929.80;646.67
 ; ;2007;Julij;928.93;635.50
 ; ;2008;Januar;964.92;661.74
 ; ;2008;Julij;1050.01;697.44
 ; ;2009;Januar;1075.79;709.39
 ; ;2009;Julij;1043.65;699.02
 ; ;2010;Januar;1132.43;754.84
 ; ;2010;Julij;1161.02;779.71
 ; ;2011;Januar;1202.34;807.20
 ; ;2011;Julij;1188.39;798.46
 ; ;2012;Januar;1227.10;814.37
 ; ;2012;Julij;1267.71;851.82
 ; ;2013;Januar;1273.97;855.76
 ; ;2013;Julij;1275.89;861.72
 ; ;2014;Januar;1282.50;863.85
